,Nombre del Artista,Recuento Total
0,U2,5166
1,Led Zeppelin,4536
2,Deep Purple,4068
3,Iron Maiden,3834
4,Pearl Jam,2718
5,Van Halen,2196
6,The Rolling Stones,1998
7,Kiss,1872
8,Queen,1692
9,Nirvana,1674
10,Creedence Clearwater Revival,1440
11,Foo Fighters,1422
12,Red Hot Chili Peppers,1386
13,Santana,1350
14,Miles Davis,1350
15,Lenny Kravitz,1350
16,Guns N' Roses,1296
17,The Cult,1152
18,Skank,1026
19,Spyro Gyra,972
20,Ozzy Osbourne,918
21,Soundgarden,882
22,Def Leppard,864
23,Faith No More,810
24,Aerosmith,810
25,Gene Krupa,792
26,The Police,756
27,Rush,756
28,R.E.M.,756
29,The Who,720
30,Incognito,702
31,Alanis Morissette,702
32,Stone Temple Pilots,666
33,Alice In Chains,666
34,AC/DC,666
35,Page & Plant,648
36,Jimi Hendrix,612
37,O Terço,540
38,Joe Satriani,540
39,Jamiroquai,540
40,Raul Seixas,504
41,Audioslave,504
42,Antônio Carlos Jobim,504
43,Velvet Revolver,468
44,Scorpions,450
45,David Coverdale,432
46,The Doors,396
47,"Terry Bozzio, Tony Levin & Steve Stevens",378
48,Paul D'Ianno,360
49,Men At Work,360
50,Marillion,360
51,Pink Floyd,324
52,Frank Zappa & Captain Beefheart,324
53,Dennis Chambers,324
54,Billy Cobham,288
55,Accept,270
56,Gilberto Gil,108
57,The Posies,72
58,Aisha Duo,72
59,Dread Zeppelin,54
60,Aaron Goldberg,36
