,Name,Cantidad ganada
0,Iron Maiden,138.5999999999998
1,U2,105.92999999999982
2,Metallica,90.0899999999999
3,Led Zeppelin,86.12999999999992
4,Lost,81.58999999999997
5,The Office,49.75000000000001
6,Os Paralamas Do Sucesso,44.550000000000004
7,Deep Purple,43.56
8,Faith No More,41.58
9,Eric Clapton,39.599999999999994
10,R.E.M.,38.60999999999999
11,Queen,36.62999999999999
12,Creedence Clearwater Revival,36.62999999999999
13,Battlestar Galactica (Classic),35.81999999999999
14,Guns N' Roses,35.639999999999986
15,Titãs,33.65999999999998
16,Green Day,32.66999999999998
17,Pearl Jam,31.67999999999998
18,Kiss,30.68999999999998
19,Various Artists,28.709999999999983
20,Van Halen,28.709999999999983
21,Red Hot Chili Peppers,26.729999999999986
22,Chico Buarque,26.729999999999986
23,Heroes,25.869999999999994
24,Lenny Kravitz,25.739999999999988
25,Chico Science & Nação Zumbi,24.74999999999999
26,Battlestar Galactica,23.879999999999995
27,Tim Maia,23.75999999999999
28,Smashing Pumpkins,23.75999999999999
29,Ozzy Osbourne,23.75999999999999
30,Foo Fighters,21.779999999999994
31,Antônio Carlos Jobim,21.779999999999994
32,Cássia Eller,20.789999999999996
33,Caetano Veloso,20.789999999999996
34,Spyro Gyra,19.799999999999997
35,Gilberto Gil,19.799999999999997
36,The Who,18.81
37,The Rolling Stones,17.82
38,Jamiroquai,17.82
39,Djavan,17.82
40,Amy Winehouse,17.82
41,The Tea Party,16.830000000000002
42,Miles Davis,16.830000000000002
43,Legião Urbana,16.830000000000002
44,Gene Krupa,16.830000000000002
45,The Cult,15.840000000000002
46,Cidade Negra,15.840000000000002
47,Audioslave,15.840000000000002
48,AC/DC,15.840000000000002
49,Toquinho & Vinícius,14.850000000000001
50,Soundgarden,14.850000000000001
51,Milton Nascimento,14.850000000000001
52,The Black Crowes,13.860000000000001
53,O Terço,12.870000000000001
54,Lulu Santos,12.870000000000001
55,Elis Regina,12.870000000000001
56,System Of A Down,11.88
57,Santana,11.88
58,Nirvana,11.88
59,James Brown,11.88
60,Bruce Dickinson,11.88
61,Body Count,10.89
62,The Clash,9.9
63,Stone Temple Pilots,9.9
64,Skank,9.9
65,Raul Seixas,9.9
66,Olodum,9.9
67,Marvin Gaye,9.9
68,Judas Priest,9.9
69,Frank Sinatra,9.9
70,Aerosmith,9.9
71,Zeca Pagodinho,8.91
72,Stevie Ray Vaughan & Double Trouble,8.91
73,R.E.M. Feat. Kate Pearson,8.91
74,Planet Hemp,8.91
75,Passengers,8.91
76,Incognito,8.91
77,Gonzaguinha,8.91
78,Black Sabbath,8.91
79,UB40,7.920000000000001
80,Page & Plant,7.920000000000001
81,Os Mutantes,7.920000000000001
82,Men At Work,7.920000000000001
83,Marisa Monte,7.920000000000001
84,Jimi Hendrix,7.920000000000001
85,House Of Pain,7.920000000000001
86,Godsmack,7.920000000000001
87,Funk Como Le Gusta,7.920000000000001
88,Falamansa,7.920000000000001
89,David Coverdale,7.920000000000001
90,Black Label Society,7.920000000000001
91,Alanis Morissette,7.920000000000001
92,The Police,6.930000000000001
93,Raimundos,6.930000000000001
94,O Rappa,6.930000000000001
95,Mötley Crüe,6.930000000000001
96,Marcos Valle,6.930000000000001
97,JET,6.930000000000001
98,Def Leppard,6.930000000000001
99,Buddy Guy,6.930000000000001
100,Alice In Chains,6.930000000000001
101,Vinícius De Moraes,5.94
102,Velvet Revolver,5.94
103,Rush,5.94
