,Nombre del Género,Cantidad gastada
0,Rock,709732.9799948591
1,Latin,333224.099998401
2,Metal,223981.55999942866
3,Alternative & Punk,217454.48999949006
4,TV Shows,64909.81999997871
5,Classical,64583.63999995787
6,Jazz,61835.39999996353
7,Blues,51185.96999998544
8,Drama,40050.74000000416
9,R&B/Soul,34696.530000019375
10,Sci Fi & Fantasy,27621.200000007477
11,Reggae,25764.750000012024
12,Pop,19237.68000000147
13,Hip Hop/Rap,17520.029999998693
14,Soundtrack,16832.969999997582
15,Comedy,12429.539999998871
16,Alternative,10992.959999998046
17,Bossa Nova,10305.899999998197
18,Electronica/Dance,9962.369999998273
19,World,9275.309999998424
20,Science Fiction,8286.359999999326
21,Heavy Metal,8244.719999998651
22,Easy Listening,6870.599999998954
23,Rock And Roll,6183.539999999106
