,Nombre del Artista,Nombre del Género,Cantidad ganada,Nivel
0,Iron Maiden,Rock,138.5999999999998,Alto
1,U2,Rock,105.92999999999982,Alto
2,Metallica,Metal,90.0899999999999,Alto
3,Led Zeppelin,Rock,86.12999999999992,Alto
4,Lost,Drama,81.58999999999997,Alto
5,The Office,TV Shows,49.75000000000001,Medio
6,Os Paralamas Do Sucesso,Latin,44.550000000000004,Medio
7,Deep Purple,Rock,43.56,Medio
8,Faith No More,Alternative & Punk,41.58,Medio
9,Eric Clapton,Blues,39.599999999999994,Medio
10,R.E.M.,Alternative & Punk,38.60999999999999,Medio
11,Queen,Rock,36.62999999999999,Medio
12,Creedence Clearwater Revival,Rock,36.62999999999999,Medio
13,Battlestar Galactica (Classic),Sci Fi & Fantasy,35.81999999999999,Medio
14,Guns N' Roses,Rock,35.639999999999986,Medio
15,Titãs,Alternative & Punk,33.65999999999998,Medio
16,Green Day,Alternative & Punk,32.66999999999998,Medio
17,Pearl Jam,Rock,31.67999999999998,Medio
18,Kiss,Rock,30.68999999999998,Medio
19,Various Artists,Pop,28.709999999999983,Medio
20,Van Halen,Rock,28.709999999999983,Medio
21,Red Hot Chili Peppers,Alternative & Punk,26.729999999999986,Medio
22,Chico Buarque,Latin,26.729999999999986,Medio
23,Heroes,Drama,25.869999999999994,Medio
24,Lenny Kravitz,Rock,25.739999999999988,Medio
25,Chico Science & Nação Zumbi,Latin,24.74999999999999,Medio
26,Battlestar Galactica,TV Shows,23.879999999999995,Medio
27,Tim Maia,Latin,23.75999999999999,Medio
28,Smashing Pumpkins,Alternative & Punk,23.75999999999999,Medio
29,Ozzy Osbourne,Rock,23.75999999999999,Medio
30,Foo Fighters,Rock,21.779999999999994,Medio
31,Antônio Carlos Jobim,Jazz,21.779999999999994,Medio
32,Cássia Eller,Latin,20.789999999999996,Medio
33,Caetano Veloso,Latin,20.789999999999996,Medio
34,Spyro Gyra,Jazz,19.799999999999997,Bajo
35,Gilberto Gil,Soundtrack,19.799999999999997,Bajo
36,The Who,Rock,18.81,Bajo
37,The Rolling Stones,Rock,17.82,Bajo
38,Jamiroquai,Rock,17.82,Bajo
39,Djavan,Latin,17.82,Bajo
40,Amy Winehouse,R&B/Soul,17.82,Bajo
41,The Tea Party,Alternative & Punk,16.830000000000002,Bajo
42,Miles Davis,Jazz,16.830000000000002,Bajo
43,Legião Urbana,Latin,16.830000000000002,Bajo
44,Gene Krupa,Jazz,16.830000000000002,Bajo
45,The Cult,Rock,15.840000000000002,Bajo
46,Cidade Negra,Reggae,15.840000000000002,Bajo
47,Audioslave,Rock,15.840000000000002,Bajo
48,AC/DC,Rock,15.840000000000002,Bajo
49,Toquinho & Vinícius,Bossa Nova,14.850000000000001,Bajo
50,Soundgarden,Rock,14.850000000000001,Bajo
51,Milton Nascimento,Latin,14.850000000000001,Bajo
52,The Black Crowes,Blues,13.860000000000001,Bajo
53,O Terço,Rock,12.870000000000001,Bajo
54,Lulu Santos,Latin,12.870000000000001,Bajo
55,Elis Regina,Latin,12.870000000000001,Bajo
56,System Of A Down,Metal,11.88,Bajo
57,Santana,Rock,11.88,Bajo
58,Nirvana,Rock,11.88,Bajo
59,James Brown,R&B/Soul,11.88,Bajo
60,Bruce Dickinson,Metal,11.88,Bajo
61,Body Count,Alternative & Punk,10.89,Bajo
62,The Clash,Alternative & Punk,9.9,Bajo
63,Stone Temple Pilots,Rock,9.9,Bajo
64,Skank,Rock,9.9,Bajo
65,Raul Seixas,Rock,9.9,Bajo
66,Olodum,Latin,9.9,Bajo
67,Marvin Gaye,R&B/Soul,9.9,Bajo
68,Judas Priest,Metal,9.9,Bajo
69,Frank Sinatra,Easy Listening,9.9,Bajo
70,Aerosmith,Rock,9.9,Bajo
71,Zeca Pagodinho,Latin,8.91,Bajo
72,Stevie Ray Vaughan & Double Trouble,Blues,8.91,Bajo
73,R.E.M. Feat. Kate Pearson,Alternative & Punk,8.91,Bajo
74,Planet Hemp,Hip Hop/Rap,8.91,Bajo
75,Passengers,Soundtrack,8.91,Bajo
76,Incognito,Jazz,8.91,Bajo
77,Gonzaguinha,Latin,8.91,Bajo
78,Black Sabbath,Metal,8.91,Bajo
79,UB40,Reggae,7.920000000000001,Bajo
80,Page & Plant,Rock,7.920000000000001,Bajo
81,Os Mutantes,Alternative & Punk,7.920000000000001,Bajo
82,Men At Work,Rock,7.920000000000001,Bajo
83,Marisa Monte,Latin,7.920000000000001,Bajo
84,Jimi Hendrix,Rock,7.920000000000001,Bajo
85,House Of Pain,Hip Hop/Rap,7.920000000000001,Bajo
86,Godsmack,Metal,7.920000000000001,Bajo
87,Funk Como Le Gusta,Latin,7.920000000000001,Bajo
88,Falamansa,Latin,7.920000000000001,Bajo
89,David Coverdale,Rock,7.920000000000001,Bajo
90,Black Label Society,Metal,7.920000000000001,Bajo
91,Alanis Morissette,Rock,7.920000000000001,Bajo
92,The Police,Rock,6.930000000000001,Bajo
93,Raimundos,Alternative & Punk,6.930000000000001,Bajo
94,O Rappa,Electronica/Dance,6.930000000000001,Bajo
